표 1,,
stock_code,stock_name,stock_name_en
AAPL,애플,APPLE INC
ABNB,에어비앤비,AIRBNB INC
ADBE,어도비,ADOBE INC
ADI,애널로그 디바이시스,ANALOG DEVICES INC
ADP,오토매틱 데이터 프로세싱,AUTOMATIC DATA PROCESSING INC
ADSK,오토데스크,AUTODESK INC
AEP,아메리칸 일렉트릭 파워,AMERICAN ELECTRIC POWER CO INC
ALNY,앨나일램 파머슈티컬스,ALNYLAM PHARMACEUTICALS INC
AMAT,어플라이드 머티어리얼즈,APPLIED MATERIALS INC
AMD,AMD,ADVANCED MICRO DEVICES INC
AMGN,암젠,AMGEN INC
AMZN,아마존닷컴,AMAZON COM INC
APP,앱러빈,APPLOVIN CORP
ARM,에이알엠 홀딩스(ADR),ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS
ASML,ASML 홀딩(ADR),ASML HOLDING NV EUR0.09 NY REGISTRY SHS 2012
AVGO,브로드컴,BROADCOM INC
AXON,액손 엔터프라이즈,AXON ENTERPRISE INC
BKNG,부킹 홀딩스,BOOKING HOLDINGS INC
BKR,베이커 휴즈,BAKER HUGHES COMPANY
CCEP,코카콜라 유로퍼시픽 파트너스,COCA-COLA EUROPACIFIC PARTNERS
CDNS,케이던스 디자인 시스템즈,CADENCE DESIGN SYSTEMS INC
CEG,컨스털레이션 에너지,CONSTELLATION ENERGY CORPORATION
CHTR,차터 커뮤니케이션스,CHARTER COMMUNICATIONS INC
CMCSA,컴캐스트,COMCAST CORP
COST,코스트코 홀세일,COSTCO WHOLESALE CORP
CPRT,코파트,COPART INC
CRWD,크라우드스트라이크 홀딩스,CROWDSTRIKE HOLDINGS INC
CSCO,시스코 시스템즈,CISCO SYSTEMS INC
CSGP,코스타 그룹,COSTAR GROUP INC
CSX,CSX,CSX
CTAS,신타스,CINTAS CORP
CTSH,코그니전트 테크놀로지 솔루션스,COGNIZANT TECHNOLOGY SOLUTIONS CORP
DASH,도어대시,DOORDASH INC
DDOG,데이터도그,DATADOG INC
DXCM,덱스컴,DEXCOM INC
EA,일렉트로닉 아츠,ELECTRONIC ARTS INC
EXC,엑셀론,EXELON CORP
FANG,다이아몬드백 에너지,DIAMONDBACK ENERGY INC
FAST,패스널,FASTENAL
FER,페로비알,FERROVIAL SE
FTNT,포티넷,FORTINET INC
GEHC,GE 헬스케어 테크놀로지스,GE HEALTHCARE TECHNOLOGIES INC
GILD,길리어드 사이언스,GILEAD SCIENCES INC
GOOG,알파벳 C,ALPHABET INC
GOOGL,알파벳 A,ALPHABET INC
HON,허니웰 인터내셔널,HONEYWELL INTERNATIONAL INC
